condition,encoding_pred,encoding_true,decision_pred,decision_true,confirmation_pred,confirmation_true,response_pred,response_true
AC,0.024691358,0.1563786,0.13168724,0.12345679,0.5802469,0.54320985,0.962963,0.9835391
SP,0.03883495,0.0776699,0.19417475,0.19417475,0.407767,0.0,0.8446602,0.8446602
AC,0.022123894,0.022123894,0.19469027,0.19026549,0.5176991,0.23451327,0.96902657,0.9734513
AC,0.017793594,0.046263345,0.2064057,0.20996441,0.47686833,0.31672597,0.97153026,0.97508895
AC,0.05,0.046428572,0.18571429,0.18214285,0.48214287,0.57857144,0.9607143,0.96428573
AC,0.07339449,0.07339449,0.32568806,0.32568806,0.5,0.49082568,0.9678899,0.9770642
SP,0.09090909,0.22077923,0.46753246,0.7532467,0.32467532,0.0,0.9350649,0.96103895
SP,0.050632913,0.4050633,0.35443038,0.70886075,0.5443038,0.0,0.89873415,0.9113924
SP,0.020304568,0.020304568,0.18274112,0.40101522,0.7461929,0.0,0.97969544,0.87309647
SP,0.1,0.11,0.59,0.58,0.84,0.0,0.92,0.95
AC,0.02116402,0.02116402,0.1957672,0.5873016,0.6455026,0.67724866,0.96825397,0.97354496
AC,0.064935066,0.064935066,0.15584415,0.38311687,0.7467533,0.72077924,0.9220779,0.90909094
AC,0.024767801,0.13312693,0.26625386,0.2631579,0.44582042,0.32507738,0.97832817,0.9876161
AC,0.03663004,0.102564104,0.20879121,0.20512821,0.5787546,0.4908425,0.970696,0.974359
SP,0.040229887,0.25287357,0.33333334,0.41379312,0.5862069,0.0,0.95977014,0.95977014
SP,0.054263566,0.2015504,0.4031008,0.39534885,0.79844964,0.0,0.92248064,0.92248064
AC,0.034985423,0.13119534,0.0787172,0.08163265,0.56559765,0.3469388,0.97084546,0.9825073
SP,0.060606062,0.13131313,0.5252525,0.5050505,0.3838384,0.0,0.9292929,0.94949496
AC,0.020771513,0.017804155,0.118694365,0.115727,0.36795253,0.15133531,0.9792285,0.9910979
AC,0.04761905,0.11111111,0.54761904,0.44444445,0.78571427,0.61904764,0.93650794,0.96031743
AC,0.06097561,0.067073174,0.40853658,0.40243903,0.5731707,0.5365854,0.95731705,0.85365856
AC,0.018181818,0.018181818,0.16818182,0.16363636,0.47272727,0.24545455,0.96363634,0.9818182
SP,0.016949153,0.14237288,0.12881356,0.6440678,0.779661,0.0,0.9491525,0.9830508
AC,0.10798122,0.103286386,0.1971831,0.41784036,0.6056338,0.57276994,0.9342723,0.98122066
SP,0.030075189,0.037593983,0.22556391,0.60902256,0.7819549,0.0,0.93233085,0.90225565
AC,0.035555556,0.04,0.16444445,0.16444445,0.51555556,0.23555556,0.9777778,0.9777778
SP,0.21621622,0.43243244,0.6351351,0.6351351,0.3918919,0.0,0.8648649,0.8918919
AC,0.037572253,0.037572253,0.15606937,0.16473988,0.43641618,0.23121387,0.97109824,0.98554915
SP,0.024844721,0.06832298,0.1863354,0.35403726,0.55279505,0.0,0.9130435,0.9006211
SP,0.069518715,0.07486631,0.19786096,0.09625668,0.5989305,0.0,0.96791446,0.96791446
AC,0.023391813,0.10526316,0.18128654,0.32163742,0.5906433,0.57309943,0.9590643,0.9766082
AC,0.023041476,0.19815668,0.30875576,0.29953918,0.59907836,0.359447,0.9769585,0.98156685
AC,0.05357143,0.26785713,0.16071428,0.16071428,0.6473214,0.78125,0.96875,0.9776786
SP,0.04137931,0.15862069,0.4,0.4,0.6689655,0.0,0.9724138,0.9724138
SP,0.039800994,0.16915423,0.2835821,0.2835821,0.72139305,0.0,0.90547264,0.90547264
AC,0.06748466,0.2208589,0.34969324,0.36196318,0.67484665,0.49079755,0.9570552,0.9631902
SP,0.022346368,0.22346368,0.30167598,0.32402235,0.575419,0.0,0.97206706,0.98324025
AC,0.054263566,0.062015504,0.41860464,0.43410853,0.70542634,0.7751938,0.95348835,0.9612403
SP,0.06140351,0.07017544,0.45614034,0.48245615,0.3508772,0.0,0.95614034,0.9649123
SP,0.030303031,0.27272728,0.5050505,0.5555556,0.68686867,0.0,0.8888889,0.8989899
AC,0.031914894,0.20212767,0.28723404,0.32446808,0.53723407,0.54787236,0.9255319,0.9787234
SP,0.04,0.34,0.19333333,0.5933333,0.32666665,0.0,0.9266667,0.97333336
SP,0.024691358,0.027777778,0.06481481,0.15123457,0.36419752,0.0,0.962963,0.9691358
SP,0.039647575,0.12334802,0.09251101,0.2907489,0.59911895,0.0,0.95594716,0.94273126
SP,0.054263566,0.069767445,0.4728682,0.4108527,0.55813956,0.0,0.92248064,0.95348835
AC,0.016778523,0.12751678,0.20469798,0.12416107,0.590604,0.29194632,0.9832215,0.9832215
AC,0.019138755,0.13875598,0.31578946,0.33014354,0.7703349,0.5502392,0.9665072,0.98086125
AC,0.015673982,0.10344828,0.1661442,0.1724138,0.51724136,0.6238245,0.95924765,0.94670844
SP,0.05982906,0.25641027,0.45299146,0.44444445,0.7948718,0.0,0.94017094,0.9230769
SP,0.058252428,0.029126214,0.33009708,0.34951457,0.60194176,0.0,0.9126214,0.9126214
SP,0.03726708,0.08695652,0.23602484,0.45962733,0.72670805,0.0,0.9627329,0.9751553
SP,0.05882353,0.05882353,0.5882353,0.5882353,0.7058824,0.0,0.9117647,0.95098037
SP,0.037037037,0.22222222,0.28148147,0.65185183,0.7407407,0.0,0.94074076,0.94814813
AC,0.020905923,0.087108016,0.12195122,0.22648084,0.3379791,0.3554007,0.9651568,0.9686411
AC,0.08467742,0.10080645,0.13306452,0.18951613,0.5564516,0.4516129,0.9717742,0.983871
SP,0.055900622,0.08695652,0.29192546,0.29813665,0.36024845,0.0,0.91925466,0.9130435
SP,0.033980582,0.033980582,0.116504855,0.4223301,0.66019416,0.0,0.9563107,0.97572815
AC,0.04347826,0.024844721,0.22360249,0.21118012,0.5714286,0.54658383,0.9627329,0.9751553
SP,0.05839416,0.2919708,0.4379562,0.43065694,0.79562044,0.0,0.8613139,0.8394161
AC,0.0472973,0.08783784,0.1891892,0.1891892,0.5709459,0.30743244,0.9763514,0.9864865
AC,0.059602648,0.059602648,0.45695364,0.45033112,0.5960265,0.589404,0.9668874,0.9668874
SP,0.024539877,0.2822086,0.36196318,0.38036808,0.595092,0.0,0.9570552,0.9693251
SP,0.067961164,0.048543688,0.2815534,0.2815534,0.7281553,0.0,0.94174755,0.9514563
AC,0.03529412,0.08235294,0.17058824,0.17352942,0.45,0.45882353,0.9764706,0.9764706
SP,0.04761905,0.03809524,0.45714286,0.47619048,0.6952381,0.0,0.95238096,0.95238096
AC,0.016447369,0.09539474,0.27960527,0.19078948,0.4243421,0.57894737,0.9802632,0.9638158
SP,0.0794702,0.0794702,0.13907285,0.12582782,0.7615894,0.0,0.95364237,0.9668874
SP,0.037383176,0.042056076,0.11214953,0.1682243,0.41121495,0.0,0.9766355,0.9813084
AC,0.028571429,0.09142857,0.4,0.4,0.6457143,0.6628571,0.9657143,0.98285717
SP,0.04347826,0.13043478,0.5,0.5,0.68115944,0.0,0.95652175,0.9710145
SP,0.08029197,0.34306568,0.4452555,0.620438,0.68613136,0.0,0.96350366,0.9781022
SP,0.05511811,0.19685039,0.27559054,0.27559054,0.54330707,0.0,0.9448819,0.96062994
AC,0.03448276,0.11494253,0.3275862,0.3275862,0.74712646,0.44252872,0.9367816,0.9367816
AC,0.042424243,0.06666667,0.14545454,0.19393939,0.4848485,0.5939394,0.95151514,0.96363634
AC,0.019607844,0.1254902,0.28627452,0.27450982,0.52156866,0.4,0.9647059,0.9647059
SP,0.029239766,0.029239766,0.33333334,0.34502923,0.73099416,0.0,0.9590643,0.9707602
SP,0.034782607,0.069565214,0.2347826,0.2521739,0.6,0.0,0.9652174,0.9652174
SP,0.037037037,0.026455026,0.11640212,0.47089946,0.42857143,0.0,0.95238096,0.9100529
SP,0.021551725,0.10344828,0.14224137,0.14224137,0.5948276,0.0,0.9698276,0.9741379
AC,0.036697246,0.1559633,0.27522936,0.24770643,0.6238532,0.80733943,0.8348624,0.96330273
SP,0.05940594,0.06930693,0.6732673,0.6732673,0.7920792,0.0,0.8910891,0.96039605
SP,0.07453416,0.11801242,0.17391305,0.17391305,0.42857143,0.0,0.94409937,0.9627329
AC,0.051282052,0.24786325,0.45299146,0.47863248,0.60683763,0.6666667,0.9230769,0.9145299
SP,0.08275862,0.08275862,0.31724137,0.31724137,0.40689656,0.0,0.94482756,0.93793106
SP,0.17021276,0.17021276,0.29787233,0.5638298,0.59574467,0.0,0.9361702,0.9468085
SP,0.034782607,0.17391305,0.31304348,0.37391305,0.5304348,0.0,0.8869565,0.8695652
AC,0.0295858,0.22485207,0.26035503,0.25443786,0.6745562,0.44970414,0.91715974,0.98224854
SP,0.03267974,0.18954249,0.35947713,0.36601308,0.5686275,0.0,0.9411765,0.9477124
AC,0.035587188,0.081850536,0.19572954,0.19928825,0.37010676,0.29537368,0.97153026,0.9857651
AC,0.018181818,0.021818181,0.09090909,0.09090909,0.42545456,0.20727272,0.9563636,0.9818182
SP,0.11347517,0.17730497,0.37588653,0.37588653,0.4964539,0.0,0.95035464,0.95035464
AC,0.06741573,0.23033708,0.4550562,0.43820226,0.6348315,0.57865167,0.9325843,0.9325843
SP,0.061946902,0.17699115,0.5221239,0.5132743,0.40707964,0.0,0.9557522,0.9557522
